image_id,dice_score
BraTS2021_00247,tensor(91.4063)
BraTS2021_00106,tensor(90.6148)
BraTS2021_01440,tensor(76.2755)
BraTS2021_01635,tensor(85.6986)
BraTS2021_01258,tensor(94.9606)
BraTS2021_00430,tensor(96.3722)
BraTS2021_00052,tensor(96.2069)
BraTS2021_00574,tensor(94.5015)
BraTS2021_00739,tensor(95.0718)
BraTS2021_01369,tensor(90.2557)
BraTS2021_01020,tensor(97.0756)
BraTS2021_01074,tensor(95.4451)
BraTS2021_00298,tensor(94.5708)
BraTS2021_00192,tensor(90.9562)
BraTS2021_01355,tensor(95.4914)
BraTS2021_01561,tensor(83.5777)
BraTS2021_00148,tensor(61.7695)
BraTS2021_01272,tensor(90.7128)
BraTS2021_01601,tensor(93.5649)
BraTS2021_00532,tensor(88.0529)
BraTS2021_00740,tensor(96.4147)
BraTS2021_00317,tensor(93.2340)
BraTS2021_00328,tensor(80.9462)
BraTS2021_00547,tensor(90.7430)
BraTS2021_00558,tensor(97.4582)
BraTS2021_01005,tensor(94.6742)
BraTS2021_01622,tensor(51.5808)
BraTS2021_00089,tensor(90.8392)
BraTS2021_01391,tensor(86.8518)
BraTS2021_00002,tensor(91.8147)
BraTS2021_00413,tensor(85.7974)
BraTS2021_00343,tensor(89.0685)
BraTS2021_00108,tensor(61.8347)
BraTS2021_00270,tensor(56.7894)
BraTS2021_00688,tensor(95.7471)
BraTS2021_01259,tensor(91.6335)
BraTS2021_00774,tensor(93.2727)
BraTS2021_00470,tensor(92.4772)
BraTS2021_01500,tensor(78.3075)
BraTS2021_01236,tensor(94.8946)
BraTS2021_00631,tensor(98.5623)
BraTS2021_01638,tensor(96.8916)
BraTS2021_00096,tensor(94.1177)
BraTS2021_00327,tensor(74.9555)
BraTS2021_00620,tensor(97.7635)
BraTS2021_00768,tensor(90.5411)
BraTS2021_01536,tensor(82.7621)
BraTS2021_00282,tensor(93.7515)
BraTS2021_01539,tensor(94.7812)
BraTS2021_00472,tensor(95.2272)
BraTS2021_01046,tensor(92.8489)
BraTS2021_01362,tensor(95.7117)
