image_id,dice_score
BraTS2021_00158,tensor(91.6395)
BraTS2021_01272,tensor(92.7199)
BraTS2021_01156,tensor(97.3568)
BraTS2021_01661,tensor(87.9137)
BraTS2021_00031,tensor(94.1683)
BraTS2021_01328,tensor(94.6849)
BraTS2021_01265,tensor(93.4736)
BraTS2021_01498,tensor(83.9624)
BraTS2021_00512,tensor(83.9055)
BraTS2021_00148,tensor(63.5269)
BraTS2021_00025,tensor(77.9249)
BraTS2021_01232,tensor(69.9793)
BraTS2021_01484,tensor(94.0787)
BraTS2021_00238,tensor(95.6663)
BraTS2021_01512,tensor(93.4470)
BraTS2021_01516,tensor(77.7418)
BraTS2021_01160,tensor(97.4636)
BraTS2021_00002,tensor(92.4572)
BraTS2021_00601,tensor(90.7062)
BraTS2021_00453,tensor(96.2112)
BraTS2021_00579,tensor(95.6817)
BraTS2021_01373,tensor(96.6186)
BraTS2021_00325,tensor(92.4351)
BraTS2021_00132,tensor(89.4259)
BraTS2021_01576,tensor(94.8742)
BraTS2021_00022,tensor(95.7080)
BraTS2021_01443,tensor(93.7671)
BraTS2021_01231,tensor(92.1730)
BraTS2021_01532,tensor(93.1868)
BraTS2021_01370,tensor(70.3977)
BraTS2021_00505,tensor(96.1156)
BraTS2021_00253,tensor(97.1822)
BraTS2021_00840,tensor(83.2464)
BraTS2021_01355,tensor(97.0421)
BraTS2021_00261,tensor(98.1207)
BraTS2021_01122,tensor(97.7558)
BraTS2021_01149,tensor(82.0553)
BraTS2021_00167,tensor(91.1774)
BraTS2021_00607,tensor(87.2268)
BraTS2021_00538,tensor(85.6001)
BraTS2021_00611,tensor(89.7634)
BraTS2021_00641,tensor(97.2060)
BraTS2021_01030,tensor(95.4712)
BraTS2021_01007,tensor(90.6009)
BraTS2021_01519,tensor(64.4910)
BraTS2021_00578,tensor(97.8866)
BraTS2021_01179,tensor(59.4565)
BraTS2021_00343,tensor(93.2599)
BraTS2021_00116,tensor(82.5346)
BraTS2021_00764,tensor(91.1788)
BraTS2021_01028,tensor(94.8737)
BraTS2021_01048,tensor(94.6339)
BraTS2021_01410,tensor(99.1287)
BraTS2021_01335,tensor(95.6282)
BraTS2021_01315,tensor(97.6958)
BraTS2021_01571,tensor(75.6051)
BraTS2021_01142,tensor(90.9697)
BraTS2021_01187,tensor(88.5866)
BraTS2021_00194,tensor(98.3465)
BraTS2021_00589,tensor(96.0657)
BraTS2021_01595,tensor(97.5200)
BraTS2021_00214,tensor(97.0996)
BraTS2021_01458,tensor(93.4309)
BraTS2021_01204,tensor(68.2837)
BraTS2021_01579,tensor(95.1449)
BraTS2021_01131,tensor(98.7744)
BraTS2021_00108,tensor(63.9546)
BraTS2021_00529,tensor(92.3898)
BraTS2021_01000,tensor(99.0572)
BraTS2021_00009,tensor(94.4543)
BraTS2021_01227,tensor(96.0915)
BraTS2021_01664,tensor(90.6789)
BraTS2021_01592,tensor(93.1326)
BraTS2021_01568,tensor(79.4393)
BraTS2021_00258,tensor(58.0252)
BraTS2021_00405,tensor(92.5833)
BraTS2021_01623,tensor(68.6183)
BraTS2021_01034,tensor(61.1956)
BraTS2021_01176,tensor(95.2821)
BraTS2021_01003,tensor(92.6951)
BraTS2021_01043,tensor(98.2561)
BraTS2021_01261,tensor(92.0103)
BraTS2021_01103,tensor(91.2660)
BraTS2021_01375,tensor(82.3395)
BraTS2021_01353,tensor(97.3316)
BraTS2021_01559,tensor(62.1312)
BraTS2021_00236,tensor(97.1401)
BraTS2021_00524,tensor(96.3788)
BraTS2021_01257,tensor(79.9191)
BraTS2021_01447,tensor(87.8364)
BraTS2021_01430,tensor(84.5753)
BraTS2021_00409,tensor(96.7374)
BraTS2021_01055,tensor(97.1362)
BraTS2021_01098,tensor(92.0167)
BraTS2021_01642,tensor(96.8339)
BraTS2021_01636,tensor(84.2955)
BraTS2021_00240,tensor(91.3049)
BraTS2021_00367,tensor(84.8180)
BraTS2021_00725,tensor(89.6308)
BraTS2021_00714,tensor(97.6875)
BraTS2021_01650,tensor(89.3036)
BraTS2021_01125,tensor(96.5106)
BraTS2021_01594,tensor(61.8218)
BraTS2021_01073,tensor(97.1111)
BraTS2021_01190,tensor(91.1041)
BraTS2021_00442,tensor(96.6723)
BraTS2021_00230,tensor(96.1240)
BraTS2021_01534,tensor(87.3462)
BraTS2021_01600,tensor(92.7718)
BraTS2021_00818,tensor(97.4441)
BraTS2021_01067,tensor(95.2044)
BraTS2021_01453,tensor(80.8639)
BraTS2021_00011,tensor(69.3660)
BraTS2021_01084,tensor(95.1390)
BraTS2021_01317,tensor(98.5998)
BraTS2021_01605,tensor(67.2816)
BraTS2021_01433,tensor(88.2444)
BraTS2021_00504,tensor(75.9429)
BraTS2021_00737,tensor(95.9347)
BraTS2021_01338,tensor(98.0589)
BraTS2021_01343,tensor(98.1889)
BraTS2021_00742,tensor(94.7160)
BraTS2021_00292,tensor(85.2768)
BraTS2021_01444,tensor(92.8472)
BraTS2021_01348,tensor(87.8364)
BraTS2021_01394,tensor(92.5473)
BraTS2021_01376,tensor(98.1770)
BraTS2021_01220,tensor(96.3809)
BraTS2021_01312,tensor(97.5053)
BraTS2021_00106,tensor(91.9817)
BraTS2021_01244,tensor(91.2316)
BraTS2021_00243,tensor(65.0865)
BraTS2021_00294,tensor(97.6312)
BraTS2021_00017,tensor(75.2819)
BraTS2021_01134,tensor(98.8134)
BraTS2021_00457,tensor(96.2010)
BraTS2021_00118,tensor(97.4442)
BraTS2021_01640,tensor(84.6261)
BraTS2021_01032,tensor(90.6765)
BraTS2021_00477,tensor(95.9782)
BraTS2021_00441,tensor(89.4978)
BraTS2021_00316,tensor(96.8841)
BraTS2021_01459,tensor(84.0101)
BraTS2021_01241,tensor(92.2947)
BraTS2021_00218,tensor(62.6663)
BraTS2021_01436,tensor(95.4725)
BraTS2021_00003,tensor(98.5545)
BraTS2021_00056,tensor(92.5595)
BraTS2021_01536,tensor(84.0687)
BraTS2021_00734,tensor(94.3015)
BraTS2021_01195,tensor(96.2140)
BraTS2021_00574,tensor(95.4820)
BraTS2021_00478,tensor(96.0968)
BraTS2021_01584,tensor(95.8216)
BraTS2021_01422,tensor(86.7377)
BraTS2021_01282,tensor(92.2153)
BraTS2021_00605,tensor(97.6185)
BraTS2021_00338,tensor(64.5999)
BraTS2021_00645,tensor(93.5617)
BraTS2021_01615,tensor(59.2884)
BraTS2021_00185,tensor(86.5460)
BraTS2021_00649,tensor(98.1203)
BraTS2021_00334,tensor(96.1704)
BraTS2021_01153,tensor(97.2196)
BraTS2021_00708,tensor(94.5603)
BraTS2021_00014,tensor(62.3109)
BraTS2021_00309,tensor(96.4693)
BraTS2021_00479,tensor(96.6931)
BraTS2021_01061,tensor(98.1852)
BraTS2021_00804,tensor(98.5123)
BraTS2021_01557,tensor(91.8692)
BraTS2021_00390,tensor(66.6740)
BraTS2021_00430,tensor(97.0596)
BraTS2021_01567,tensor(95.9320)
BraTS2021_01235,tensor(89.7855)
BraTS2021_01321,tensor(97.0050)
BraTS2021_01124,tensor(98.3944)
BraTS2021_01577,tensor(97.4892)
BraTS2021_01044,tensor(91.4126)
BraTS2021_00339,tensor(92.0721)
BraTS2021_00115,tensor(95.9818)
BraTS2021_00062,tensor(94.0627)
BraTS2021_00690,tensor(95.5619)
BraTS2021_01143,tensor(88.6210)
BraTS2021_00819,tensor(97.6052)
BraTS2021_00547,tensor(91.1398)
BraTS2021_01323,tensor(91.6056)
BraTS2021_01613,tensor(75.3867)
BraTS2021_00397,tensor(98.0856)
